accuracy,loss,val_accuracy,val_loss
0.9543750286102295,0.12112230062484741,0.9649999737739563,0.10263780504465103
0.9868749976158142,0.0343504399061203,0.9574999809265137,0.1397693008184433
0.996874988079071,0.013978472910821438,0.9725000262260437,0.07924017310142517
0.9993749856948853,0.006541997194290161,0.9700000286102295,0.09895994514226913
1.0,0.0027653060387820005,0.9750000238418579,0.09124699234962463
1.0,0.0018551860703155398,0.9700000286102295,0.09449876844882965
1.0,0.0013066231040284038,0.9700000286102295,0.09777569025754929
1.0,0.0010323009919375181,0.9700000286102295,0.10393527150154114
1.0,0.0008280927431769669,0.9674999713897705,0.10436061769723892
1.0,0.0007025949889793992,0.9700000286102295,0.10531720519065857
